propertyType,price,size,rooms,bathrooms,municipality,exterior,hasLift,hasPlan,has360,distancia_centro
flat,730.0,70.0,3 habitaciones,1 aseo,Pinto,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 10 y 20 km
flat,730.0,52.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,740.0,64.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,720.0,65.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,720.0,63.0,2 habitaciones,1 aseo,Torrejón de Ardoz,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 10 y 20 km
flat,740.0,54.0,2 habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,720.0,52.0,2 habitaciones,1 aseo,Getafe,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 10 y 20 km
flat,730.0,45.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 1 y 5 km
duplex,600.0,80.0,1 habitacion,1 aseo,Madrid,vista interior,desconocido,desconocido,desconocido,Entre 5 y 10 km
duplex,600.0,80.0,1 habitacion,1 aseo,Madrid,vista interior,desconocido,desconocido,desconocido,Entre 5 y 10 km
duplex,725.0,71.0,2 habitaciones,1 aseo,Cobeña,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,675.0,76.0,3 habitaciones,1 aseo,Aldea del Fresno,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 40 y 50 km
flat,750.0,54.0,1 habitacion,1 aseo,San Sebastián de los Reyes,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
duplex,750.0,79.0,2 habitaciones,2 aseos,Collado Villalba,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 30 y 40 km
flat,700.0,54.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
flat,750.0,54.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,730.0,48.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,650.0,61.0,2 habitaciones,1 aseo,Alcalá de Henares,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 20 y 30 km
flat,730.0,63.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,720.0,50.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,720.0,51.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,750.0,47.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 1 y 5 km
flat,730.0,50.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,730.0,40.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 1 y 5 km
flat,670.0,67.0,2 habitaciones,1 aseo,Valdemoro,vista exterior,tiene ascensor,tiene planos,tiene fotos 360,Entre 20 y 30 km
flat,740.0,52.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 1 y 5 km
flat,720.0,69.0,2 habitaciones,1 aseo,Alcalá de Henares,vista exterior,tiene ascensor,tiene planos,tiene fotos 360,Entre 20 y 30 km
flat,750.0,59.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,740.0,45.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,740.0,60.0,2 habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
studio,730.0,45.0,sin habitaciones,1 aseo,Madrid,vista interior,tiene ascensor,no tiene planos,no tiene fotos 360,Menos de 1 km
flat,620.0,75.0,3 habitaciones,1 aseo,Parla,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
