,propertyType,status,price,size,rooms,bathrooms,floor,neighborhood,address,district,province,municipality,exterior,hasLift,hasPlan,has3DTour,has360,distance,latitude,longitude
199,flat,good,740.0,45.0,2,1,3,Los Rosales,Calle Encarnación Oviol,Villaverde,Madrid,Madrid,True,False,True,False,True,7720,40348543.0,-36858237.0
200,flat,good,740.0,60.0,2,1,1,Los Rosales,Calle de Sáhara,Villaverde,Madrid,Madrid,True,True,True,False,True,6670,403571435.0,-36937449.0
201,studio,good,730.0,45.0,0,1,,Huertas-Cortes,Paseo del Prado,Centro,Madrid,Madrid,False,True,False,False,False,854,404123204.0,-36949573.0
202,flat,good,620.0,75.0,3,1,,,Calle Isabel II,Reyes,Madrid,Parla,True,True,False,False,False,21044,402338005.0,-37671126.0
203,flat,good,695.0,67.0,2,1,,,Avenida de la Hispanidad,Sudeste Industrial,Madrid,Fuenlabrada,True,False,False,False,False,16111,402841243.0,-37799766.0
204,flat,good,650.0,95.0,3,1,,,Calle de San Roque,Centro,Madrid,Navalcarnero,True,True,False,False,False,29884,402854975.0,-40110488.0
205,flat,good,675.0,68.0,2,1,,,Calle Diego de Urbina,Juan de Austria,Madrid,Alcalá de Henares,True,True,False,False,False,30461,404876587.0,-33555155.0
206,flat,good,695.0,65.0,2,1,,Casco Histórico de Vicálvaro,Calle San Ciriaco,Vicálvaro,Madrid,Madrid,True,False,False,False,False,8484,404039568.0,-36044371.0
207,flat,good,750.0,111.0,2,2,6,,Centro,Centro,Madrid,Parla,True,True,False,False,False,20583,4023866.0,-376976.0
208,flat,,675.0,35.0,1,1,,,Calle de Don Pedro s/n,,Madrid,Madrid,False,,,,,1016,404117027.0,-37132995.0
209,flat,good,730.0,60.0,3,1,3,,Reyes,Reyes,Madrid,Parla,False,False,True,False,True,20756,402366913.0,-37681298.0
210,flat,good,690.0,85.0,2,1,,,Calle Alfonso XIII,Reyes,Madrid,Parla,True,True,False,False,False,20804,402355101.0,-37644926.0
211,flat,good,750.0,45.0,1,1,bj,Valdeacederas,"Calle Conde de Vallellano, 5",Tetuán,Madrid,Madrid,False,False,True,False,False,5089,40462325.0,-36983636.0
212,flat,good,650.0,87.0,2,2,3,,El Quiñón,El Quiñón,Toledo,Seseña,True,True,True,False,False,32197,401282733.0,-36695045.0
213,studio,good,600.0,32.0,0,1,1,Salvador,"Travesía de López de Aranda, 6",San Blas,Madrid,Madrid,True,True,False,False,False,6325,404428709.0,-36368942.0
214,flat,good,450.0,60.0,1,1,1,,"Avenida RUFINO RUBIO, 70",,Toledo,Yeles,True,True,True,False,False,33898,401218293.0,-38047614.0
215,studio,newdevelopment,723.0,25.0,0,1,,,"Calle Beatriz Galindo, 12",Rivas Futura,Madrid,Rivas-Vaciamadrid,True,True,True,False,False,16775,403413759.0,-35316501.0
216,flat,good,620.0,87.0,2,2,1,,El Quiñón,El Quiñón,Toledo,Seseña,True,True,True,False,False,31323,401364479.0,-36657006.0
217,flat,good,400.0,55.0,1,1,1,,"Avenida Rufino Rubio, 2",,Toledo,Yeles,True,True,True,False,False,33991,401208638.0,-38042647.0
218,flat,good,500.0,115.0,3,2,2,,Calle Pío XII,,Toledo,Fuensalida,True,True,False,False,False,59095,400522725.0,-42100279.0
